Sex,Name,Age,Weight,BodyLength,TailLength,EyeColor,PadColor
male,Tomodachi_Joto,1,7,14,1.5,yellow,pink
male,Oddfuzz,5,18,21,9,yellow,pink
male,Pepper,2,12,17,9,yellow,pink
male,Alexander,18,11,21,11,green,black
male,Weary,8,15,17,12,green,pink
male,K.C.,5,16,24,12,yellow,black
male,Charcoal,11,12,21,13,yellow,black
male,George,12,15,21,13,green,black
male,Harmony,3,12,24,11,yellow,black
female,Gray_Kitty,3,9,15,9,green,gray
female,Strawberry,16,15,21,10,green,black
female,Tigger,4,8,17,10,yellow,brown
female,Lady_Jane_Grey,4,9,19,11,yellow,gray
female,Melissa,8,11,21,11,yellow,pink
female,Mittens,14,11,17,11,yellow,pink
female,Peebles,5,9,17,11,green,black
female,Diva,4,11,20,12,green,pink
female,Lady,10,9,17,13,yellow,black
female,Peau_de_Soie,15,7,16,13,green,pink
female,Cleopatra,4,7,18,9,yellow,pink
