CustomerID,MealType,SatisfactionRating
1,Lunch,2
2,Snacks,3
3,Dinner,5
4,Lunch,4
5,Breakfast,5
6,Breakfast,4
7,Breakfast,4
8,Dinner,5
9,Dinner,2
10,Dinner,3
11,Breakfast,2
12,Snacks,5
13,Dinner,5
14,Breakfast,1
15,Breakfast,4
16,Breakfast,5
17,Lunch,2
18,Lunch,4
19,Lunch,5
20,Lunch,1
21,Dinner,4
22,Breakfast,3
23,Lunch,5
24,Lunch,5
25,Lunch,5
26,Dinner,3
27,Breakfast,5
28,Lunch,5
29,Lunch,3
30,Breakfast,5
31,Dinner,1
32,Breakfast,4
33,Breakfast,2
34,Snacks,2
35,Snacks,1
36,Dinner,4
37,Lunch,3
38,Breakfast,4
39,Dinner,1
40,Lunch,3
41,Breakfast,3
42,Lunch,4
43,Breakfast,3
44,Snacks,4
45,Lunch,5
46,Dinner,4
47,Lunch,2
48,Lunch,1
49,Lunch,5
50,Breakfast,1
51,Snacks,5
52,Dinner,3
53,Snacks,5
54,Dinner,4
55,Lunch,5
56,Snacks,3
57,Breakfast,4
58,Breakfast,3
59,Breakfast,3
60,Lunch,4
61,Lunch,5
62,Lunch,5
63,Dinner,4
64,Lunch,3
65,Lunch,3
66,Lunch,4
67,Breakfast,2
68,Dinner,2
69,Breakfast,3
70,Snacks,3
71,Dinner,3
72,Breakfast,2
73,Breakfast,1
74,Dinner,1
75,Dinner,5
76,Dinner,3
77,Dinner,3
78,Breakfast,4
79,Lunch,2
80,Breakfast,5
81,Dinner,4
82,Dinner,1
83,Lunch,3
84,Breakfast,5
85,Lunch,5
86,Lunch,3
87,Dinner,4
88,Dinner,2
89,Dinner,5
90,Lunch,2
91,Breakfast,5
92,Dinner,4
93,Dinner,4
94,Lunch,3
95,Dinner,2
96,Lunch,2
97,Lunch,2
98,Lunch,2
99,Breakfast,4
100,Breakfast,3
101,Breakfast,1
102,Dinner,5
103,Lunch,5
104,Lunch,5
105,Snacks,5
106,Breakfast,2
107,Lunch,3
108,Dinner,4
109,Breakfast,4
110,Breakfast,2
111,Lunch,5
112,Breakfast,2
113,Snacks,2
114,Dinner,3
115,Dinner,4
116,Dinner,4
117,Dinner,1
118,Breakfast,5
119,Dinner,3
120,Lunch,2
121,Dinner,5
122,Dinner,5
123,Lunch,5
124,Breakfast,5
125,Breakfast,4
126,Lunch,4
127,Dinner,1
128,Dinner,3
129,Breakfast,3
130,Lunch,3
131,Lunch,4
132,Breakfast,3
133,Breakfast,1
134,Lunch,2
135,Snacks,4
136,Lunch,1
137,Lunch,5
138,Dinner,3
139,Lunch,3
140,Snacks,4
141,Snacks,5
142,Lunch,3
143,Lunch,4
144,Lunch,4
145,Lunch,3
146,Breakfast,5
147,Dinner,4
148,Lunch,4
149,Breakfast,5
150,Lunch,5
151,Snacks,4
152,Breakfast,5
153,Breakfast,4
154,Lunch,4
155,Snacks,4
156,Breakfast,4
157,Dinner,2
158,Dinner,5
159,Breakfast,5
160,Dinner,1
161,Lunch,5
162,Dinner,2
163,Dinner,3
164,Lunch,4
165,Breakfast,2
