Gender,HeadSize,BrainWeight
male,4512,1530
male,3738,1297
male,4261,1335
male,3777,1282
male,4177,1590
male,3585,1300
male,3785,1400
male,3559,1255
male,3613,1355
male,3982,1375
male,3443,1340
male,3993,1380
male,3640,1355
male,4208,1522
male,3832,1208
male,3876,1405
male,3497,1358
male,3466,1292
male,3095,1340
male,4424,1400
male,3878,1357
male,4046,1287
male,3804,1275
male,3710,1270
male,4747,1635
male,4423,1505
male,4036,1490
male,4022,1485
male,3454,1310
male,4175,1420
male,3787,1318
male,3796,1432
male,4103,1364
male,4161,1405
male,4158,1432
male,3814,1207
male,3527,1375
male,3748,1350
male,3334,1236
male,3492,1250
male,3962,1350
male,3505,1320
male,4315,1525
male,3804,1570
male,3863,1340
male,4034,1422
male,4308,1506
male,3165,1215
male,3641,1311
male,3644,1300
male,3891,1224
male,3793,1350
male,4270,1335
male,4063,1390
male,4012,1400
male,3458,1225
male,3890,1310
female,2857,1027
female,3436,1235
female,3791,1260
female,3302,1165
female,3104,1080
female,3171,1127
female,3572,1270
female,3530,1252
female,3175,1200
female,3438,1290
female,3903,1334
female,3899,1380
female,3401,1140
female,3267,1243
female,3451,1340
female,3090,1168
female,3413,1322
female,3323,1249
female,3680,1321
female,3439,1192
female,3853,1373
female,3156,1170
female,3279,1265
female,3707,1235
female,4006,1302
female,3269,1241
female,3071,1078
female,3779,1520
female,3548,1460
female,3292,1075
female,3497,1280
female,3082,1180
female,3248,1250
female,3358,1190
female,3803,1374
female,3566,1306
female,3145,1202
female,3503,1240
female,3571,1316
female,3724,1280
female,3615,1350
female,3203,1180
female,3609,1210
female,3561,1127
female,3979,1324
female,3533,1210
female,3689,1290
female,3158,1100
female,4005,1280
female,3181,1175
female,3479,1160
female,3642,1205
female,3632,1163
