Gender,Major,Ethnicity,Residence,Age,GPA,StudyHours,SATScore,FamilyIncome,Extracurriculars,SleepHours,PartTimeJobHours,SocialMediaUsage,SportsParticipation,DistanceFromHome,LibraryVisits,CourseLoad,FinalGrade,HappinessScore
Male,Computer Science,Asian,On-Campus,19,3.22,15,1258,89546,8,7,18,1,Yes,84,6,Full-Time,185.76,75.33
Female,Computer Science,Hispanic,Off-Campus,18,2.69,21,1138,46542,5,6,4,2,No,64,2,Part-Time,273.82,75.07
Male,Mathematics,White,On-Campus,20,3.91,23,1517,72703,3,6,17,1,Yes,185,1,Part-Time,282.75,71.29
Male,English,Black,On-Campus,19,3.66,23,1051,81455,5,6,14,2,Yes,80,7,Part-Time,293.85,69.42
Male,English,Black,Off-Campus,21,3.03,28,1032,37127,5,7,2,2,No,90,2,Full-Time,329.09,70.20
Male,Computer Science,Hispanic,Off-Campus,18,3.64,27,1295,76753,0,8,12,3,No,6,7,Part-Time,337.70,62.04
Male,English,Hispanic,Off-Campus,21,3.48,26,1299,91954,4,7,1,0,Yes,122,4,Full-Time,304.44,57.94
Female,English,Asian,On-Campus,21,3.34,21,1259,43793,7,6,15,1,Yes,19,0,Part-Time,246.60,69.65
Female,Mathematics,White,On-Campus,18,3.40,12,1355,35908,9,5,15,0,No,68,0,Part-Time,158.55,55.46
Male,English,Black,Off-Campus,18,2.76,14,1230,71190,5,6,14,2,Yes,133,3,Full-Time,177.65,67.22
Female,Mathematics,White,On-Campus,19,3.76,18,1240,59757,6,5,2,2,Yes,107,7,Part-Time,232.53,58.84
Female,Mathematics,Asian,Off-Campus,20,3.88,10,1056,62321,4,6,13,3,Yes,154,9,Part-Time,190.72,59.96
Male,Computer Science,Asian,On-Campus,21,2.75,21,1334,43725,5,8,1,3,Yes,104,3,Full-Time,283.80,78.51
Female,English,Hispanic,On-Campus,21,3.63,13,1424,60138,9,8,8,2,No,95,4,Full-Time,187.12,77.12
Male,Computer Science,Hispanic,On-Campus,18,3.97,12,1345,43082,6,7,11,1,No,18,2,Full-Time,182.79,56.76
Female,Computer Science,Black,Off-Campus,20,3.98,15,1416,37686,3,8,16,1,No,9,9,Part-Time,221.05,87.38
