ID,gender,education,age,ACT,SATV,SATQ
37001,1,0,18,20,400,400
35995,1,2,20,20,400,400
35449,1,3,19,20,510,420
37067,1,0,16,20,450,450
36556,1,2,25,20,450,450
36647,2,3,20,20,470,470
33568,2,3,19,20,475,475
34208,1,3,19,20,480,480
35563,2,5,37,20,500,490
29871,2,4,37,21,375,385
36001,2,3,19,21,500,420
36600,2,0,18,21,550,440
34319,1,4,30,21,500,450
29498,2,3,20,21,480,470
35875,2,2,19,21,400,480
34456,2,3,18,21,490,480
32692,2,0,17,21,580,480
33702,2,3,22,21,600,480
37120,2,0,17,21,500,500
36675,2,3,19,21,500,500
39444,2,5,24,21,540,500
36377,2,3,19,21,600,500
37667,2,3,23,21,650,500
37602,2,3,23,21,650,500
36094,2,3,20,21,510,510
36107,1,3,20,21,450,550
37650,2,3,19,21,500,550
30403,1,0,18,21,550,550
30610,2,5,40,21,600,550
36880,2,0,18,21,490,560
29617,1,4,32,21,600,600
39012,1,3,23,22,460,400
35173,2,3,20,22,560,450
35350,1,3,20,22,600,450
32811,1,4,36,22,450,460
33091,2,3,22,22,550,490
39555,1,1,21,22,480,520
34989,2,3,21,22,530,520
30444,1,0,17,22,490,530
35703,1,3,25,22,550,550
29529,1,3,19,22,520,560
36470,1,3,19,22,540,590
29543,2,4,23,22,400,600
36314,2,3,18,22,540,600
32914,2,5,24,22,550,600
35569,2,3,18,22,520,630
33099,1,3,21,22,580,640
39053,1,3,22,22,700,700
39037,1,3,22,22,670,720
31367,2,5,57,23,650,400
32241,1,4,33,23,700,400
32916,1,3,30,23,540,430
30175,2,4,34,23,440,440
37656,2,3,20,23,550,440
34225,2,5,25,23,480,450
31083,2,4,23,23,480,500
33521,2,3,20,23,650,500
39559,2,5,28,23,750,500
35640,2,2,28,23,540,520
34101,2,4,24,23,500,540
35778,2,2,18,23,450,550
30981,2,3,20,23,520,550
31092,1,3,23,23,600,550
31062,2,4,25,23,580,560
33257,2,3,19,23,570,570
32897,2,4,32,23,490,580
36649,2,3,20,23,500,600
