ID,gender,education,age,ACT,SATV,SATQ
38115,1,3,18,34,800,720
30255,2,4,23,34,800,740
32276,2,4,22,35,800,750
36249,2,3,18,31,800,750
30350,2,3,19,34,800,760
34212,2,3,18,33,800,770
32104,1,2,26,32,800,800
31741,1,0,16,26,800,800
31730,1,0,16,24,800,800
35910,2,0,16,24,800,800
36735,2,1,18,34,799,799
36636,1,0,17,35,797,720
35377,2,3,21,32,790,650
30911,2,4,24,32,790,660
32609,2,5,35,31,790,660
30843,2,5,24,35,790,720
34376,2,5,27,32,790,750
36878,2,5,27,32,790,750
38595,2,0,13,32,785,795
31655,2,5,43,32,780,550
35072,2,3,20,31,780,640
33400,1,1,18,33,780,650
33688,1,1,18,33,780,650
29619,2,4,41,35,780,725
30821,1,4,23,30,780,760
38198,1,3,19,33,780,800
30145,2,3,17,26,770,540
37322,2,3,20,31,770,600
38223,2,3,18,32,770,640
38245,2,3,18,32,770,640
32906,2,0,17,30,770,660
39097,1,5,24,31,770,670
35599,1,3,20,34,770,780
32714,1,0,18,34,770,800
38182,2,2,19,31,770,800
39240,2,5,42,27,760,530
31435,2,4,24,33,760,620
37291,2,3,19,31,760,620
32895,2,3,20,28,760,620
38316,2,3,19,31,760,640
35661,2,5,33,34,760,670
39729,1,3,19,34,760,710
29578,1,3,23,32,760,710
38132,2,3,19,34,760,720
31781,1,0,17,34,760,745
36148,2,3,33,35,760,750
38015,1,5,42,35,760,780
34183,2,4,45,30,750,420
39559,2,5,28,23,750,500
37569,2,4,22,29,750,600
36709,1,1,18,35,750,640
36381,1,4,24,31,750,650
32293,2,1,17,27,750,678
39835,1,5,26,33,750,690
35461,2,4,22,32,750,690
37077,1,5,42,35,750,700
33386,2,3,19,34,750,700
29780,1,0,18,31,750,700
33198,2,1,19,35,750,720
33990,1,3,20,31,750,725
34227,2,3,20,33,750,740
36455,2,2,27,32,750,750
38093,2,3,18,32,750,800
32393,2,3,22,34,740,560
34552,1,5,26,32,740,620
39218,2,3,20,31,740,620
35837,1,1,18,27,740,670
38122,2,3,18,29,740,690
39691,2,3,19,33,740,700
31758,2,5,58,26,740,700
33865,1,2,25,32,740,720
38820,1,1,18,35,740,740
38187,2,3,21,33,740,740
35366,1,3,17,35,740,770
39412,1,3,19,33,740,800
35842,1,3,19,29,730,560
38451,2,3,20,31,730,660
38079,2,3,19,31,730,680
38470,2,3,19,32,730,690
35033,2,5,28,31,730,690
37317,2,5,56,34,730,700
32762,1,1,17,34,730,710
35306,2,3,20,34,730,710
35979,1,5,55,33,730,710
38685,1,3,19,33,730,710
36310,1,3,19,35,730,720
38898,1,3,17,35,730,770
36159,1,5,43,32,730,780
29547,2,5,40,35,730,800
31844,2,5,27,31,725,465
34323,2,2,24,28,720,450
31019,1,5,39,32,720,480
37663,2,3,20,32,720,600
31587,2,3,22,32,720,610
31894,2,3,18,31,720,650
33061,2,4,22,30,720,650
38112,2,3,19,32,720,670
38696,2,4,28,35,720,690
38289,2,3,18,34,720,690
34005,2,4,22,27,720,690
35848,1,1,18,33,720,710
34521,2,3,20,32,720,730
37808,1,5,27,32,720,730
38895,2,3,20,35,720,780
39060,1,3,19,34,720,800
39510,2,5,36,31,710,540
29592,2,4,34,29,710,600
38511,2,1,18,28,710,600
38860,2,3,19,31,710,610
34182,2,3,21,30,710,650
39904,2,3,20,26,710,680
39406,1,4,23,34,710,690
30052,1,5,35,31,710,690
37469,2,0,17,35,710,710
