ID,Age,Gender,ACT,SATQ,SATV,,,
1,2,18,25.993428,553.577874,514.055723,,,
2,2,18,24.723471,555.607845,524.006250,,,
3,1,18,26.295377,560.830512,530.052437,,,
4,2,31,28.046060,560.538021,530.469806,,,
5,2,20,24.531693,536.223306,525.499345,,,
6,1,19,24.531726,540.621750,536.228499,,,
7,2,37,28.158426,555.150353,519.323796,,,
8,1,19,26.534869,555.137860,528.576205,,,
9,2,19,24.061051,555.150477,531.202956,,,
10,2,20,26.085120,588.527315,535.144388,,,
11,1,25,24.073165,555.708905,537.116149,,,
12,1,16,24.068540,561.355656,518.753579,,,
13,1,18,25.483925,559.540018,514.658858,,,
14,2,24,21.173440,556.513913,542.776768,,,
15,1,20,21.550164,546.847308,533.323140,,,
16,2,23,23.875425,557.589692,522.515135,,,
17,2,23,22.974338,542.271748,545.511520,,,
18,2,22,25.628495,547.631814,531.156746,,,
19,2,19,23.183952,545.146365,541.792972,,,
20,2,40,22.175393,550.818741,530.675185,,,
21,1,32,27.931298,573.146586,550.607479,,,
22,2,17,24.548447,531.327348,547.553408,,,
23,2,18,25.135056,556.862602,527.510359,,,
24,1,18,22.150504,533.872841,539.715710,,,
25,2,24,23.911235,545.280681,536.453759,,,
26,2,20,25.221845,560.889506,543.686316,,,
27,2,19,22.698013,550.642800,520.350765,,,
28,1,30,25.751396,539.222552,536.860515,,,
29,2,19,23.798723,542.846963,540.584245,,,
30,2,17,24.416613,556.795977,512.412605,,,
31,2,19,23.796587,542.696334,518.167415,,,
32,2,18,28.704556,552.164586,509.607678,,,
33,2,18,24.973006,550.455718,527.305932,,,
34,2,20,22.884578,543.483997,537.175423,,,
35,1,20,26.645090,571.439441,545.023571,,,
36,2,19,22.558313,556.339190,530.740948,,,
37,1,22,25.417727,529.748574,546.286155,,,
38,1,22,21.080660,551.864543,516.198985,,,
39,1,20,22.343628,543.382135,512.966176,,,
40,1,21,25.393722,558.524333,529.444523,,,
41,2,20,26.476933,542.074793,533.840654,,,
42,2,22,25.342737,548.852636,529.673053,,,
43,1,25,24.768703,555.049873,509.325579,,,
44,2,24,24.397793,558.657552,529.108800,,,
45,1,19,22.042956,537.997036,516.955305,,,
46,2,18,23.560312,546.654988,536.696725,,,
47,2,21,24.078722,545.250547,533.665982,,,
48,1,19,27.114244,543.466708,520.601202,,,
49,2,18,25.687237,567.654542,524.861331,,,
50,1,17,21.473920,554.049817,519.407865,,,
51,1,21,25.648168,537.391160,529.373209,,,
52,1,23,24.229835,559.178619,539.551423,,,
53,1,36,23.646156,571.221562,520.142740,,,
54,2,23,26.223353,560.324653,535.040465,,,
55,2,28,27.061999,534.806300,524.697424,,,
56,1,33,26.862560,545.157659,522.071272,,,
57,2,65,23.321565,562.669111,528.929696,,,
58,2,20,24.381575,542.923305,519.647577,,,
59,2,57,25.662527,554.438194,524.463507,,,
60,2,20,26.951090,557.746341,518.021221,,,
61,2,43,24.041652,540.730695,549.647251,,,
62,1,23,24.628682,549.404746,530.352636,,,
63,2,25,22.787330,517.587327,523.002745,,,
64,2,19,22.607587,539.756124,532.139799,,,
65,2,18,26.625052,547.474318,528.876720,,,
66,2,23,27.712480,537.522168,527.790304,,,
67,1,18,24.855980,566.324113,536.141667,,,
68,2,20,27.007066,535.698586,537.575077,,,
69,2,18,25.723272,545.599555,524.694989,,,
70,1,30,23.709760,551.307406,524.241818,,,
71,2,28,25.722791,564.412733,527.249483,,,
72,2,20,28.076073,535.641378,506.980788,,,
73,2,24,24.928348,561.631638,514.848089,,,
74,2,20,28.129287,550.102331,543.668743,,,
75,1,18,19.760510,540.184913,546.449677,,,
76,2,32,26.643805,554.621035,527.509640,,,
77,2,25,25.174094,551.990597,535.765570,,,
78,2,23,24.401985,543.997831,533.112502,,,
79,2,18,25.183522,550.698021,560.788808,,,
80,2,34,21.024862,546.146864,541.195749,,,
81,1,16,24.560656,551.135173,528.720824,,,
82,2,16,25.714225,556.621307,520.444596,,,
83,2,22,27.955788,565.860168,513.935537,,,
84,2,35,23.963460,537.621845,532.034636,,,
85,2,30,23.383013,571.330334,522.436493,,,
86,2,52,23.996486,530.479122,515.777463,,,
87,2,21,26.830804,548.482149,523.534271,,,
88,2,21,25.657502,555.883172,519.184520,,,
89,2,20,23.940480,552.809919,546.871416,,,
90,1,25,26.026535,543.773005,538.816398,,,
91,1,25,25.194155,547.918777,529.920274,,,
92,2,20,26.937290,545.069991,544.799441,,,
93,2,22,23.595894,544.106352,530.773683,,,
94,2,25,24.344676,558.496021,521.387158,,,
95,2,21,24.215784,553.570155,545.231241,,,
96,2,26,22.072970,543.070904,535.389100,,,
97,1,16,25.592241,558.995999,519.627538,,,
98,2,47,25.522111,553.072995,528.096613,,,
99,2,18,25.010227,558.128621,521.243817,,,
100,2,37,24.530826,556.296288,516.172003,,,
101,2,19,22.169259,541.710050,539.261775,,,
102,2,26,24.158709,544.398190,549.094166,,,
103,1,23,24.314571,557.472936,516.014324,,,
104,1,21,23.395445,556.103703,535.629692,,,
105,1,22,24.677429,549.790984,523.493574,,,
106,1,52,25.808102,551.173274,525.128746,,,
107,1,20,28.772372,562.776649,524.076061,,,
108,2,19,25.349156,544.084286,521.360092,,,
109,2,44,25.515101,555.470974,530.485216,,,
110,2,23,24.851108,547.978073,521.690499,,,
111,2,17,21.162458,547.823188,532.704568,,,
112,1,18,24.946972,560.987769,529.497619,,,
113,2,40,25.120460,558.254163,527.610520,,,
114,2,28,29.926484,558.135096,520.924363,,,
115,1,30,24.615278,563.054788,524.232287,,,
116,2,22,25.603095,550.210038,537.553912,,,
117,2,44,24.930576,556.819530,535.009172,,,
118,2,44,22.662644,546.897332,520.224448,,,
119,2,36,27.285646,553.241664,530.993323,,,
120,1,25,26.503866,548.698569,537.513871,,,
121,1,34,26.582064,550.969960,513.305947,,,
122,2,30,23.181225,555.951570,535.433602,,,
123,2,21,27.805589,541.817793,523.373762,,,
124,1,20,22.196298,570.923873,535.705987,,,
125,2,25,26.173714,539.939826,522.367408,,,
126,1,20,29.380911,537.858114,511.951179,,,
127,2,19,23.018927,561.581109,513.724576,,,
128,1,55,23.867405,557.916627,530.480849,,,
129,2,18,25.199303,556.241198,532.597225,,,
130,1,20,23.993049,556.283455,520.956834,,,
131,2,19,21.898673,549.877532,536.385925,,,
132,2,19,25.137126,541.027456,513.384799,,,
133,1,28,22.875393,550.758046,529.339202,,,
134,2,19,25.947185,543.228383,517.889838,,,
135,1,36,23.161152,559.751197,523.481639,,,
136,1,18,28.099869,548.529426,530.473987,,,
137,1,18,23.433493,541.745028,521.395866,,,
138,1,34,24.355877,546.786142,526.154445,,,
139,2,18,26.627034,554.129315,540.062928,,,
140,1,16,22.538271,544.362754,524.231081,,,
141,2,17,25.454920,541.777796,538.356921,,,
142,2,58,27.614286,552.436872,518.702931,,,
143,2,20,21.785034,552.449666,535.298042,,,
144,2,22,25.369268,544.930568,544.415686,,,
145,2,25,25.519766,545.289617,505.283555,,,
146,1,19,26.563646,552.320499,522.031047,,,
147,2,18,22.526099,535.519157,535.770721,,,
148,2,34,22.359087,535.925362,527.969546,,,
149,2,18,26.043883,542.815558,533.711459,,,
150,2,17,25.593969,547.865528,523.960148,,,
151,2,18,25.500986,553.109076,530.865898,,,
152,2,38,25.692896,564.753562,528.443228,,,
153,2,20,23.639951,558.576596,541.677821,,,
154,2,26,25.464507,548.400615,532.544208,,,
155,2,50,25.586145,549.809838,533.376027,,,
156,2,22,23.571297,539.974706,525.881230,,,
157,2,17,28.731549,549.814869,525.123938,,,
158,2,38,25.947666,547.113414,525.674418,,,
159,2,29,22.617393,553.227186,533.944521,,,
160,2,30,26.313107,541.727691,525.790155,,,
161,2,20,23.050637,555.193465,532.897749,,,
162,1,27,26.574169,565.327389,550.754008,,,
163,1,28,27.317191,548.912399,538.711247,,,
164,2,26,23.358635,554.017117,526.739765,,,
165,2,20,26.926752,556.901440,542.012139,,,
166,1,37,25.825562,545.987795,525.919246,,,
167,1,36,26.644120,552.240925,509.618755,,,
168,2,25,28.793586,550.125924,519.919137,,,
