Years_of_Experience,Salary,Job_Satisfaction,Stress_Level,Commute_Distance,Gender,Department,Promotion_Last_Year,Work_Mode,Performance_Rating
12.3,71490.88,3.2,6.5,25.2,Female,Marketing,No,Remote,5.2
9.3,67843.87,3.0,6.3,30.9,Male,Software Development,No,Remote,3.9
11.3,106900.36,4.7,4.6,23.6,Female,Software Development,Yes,Remote,4.7
8.9,80345.98,3.6,7.1,28.3,Female,Software Development,No,Remote,3.7
13.3,146581.69,6.5,3.5,15.4,Male,Product Management,No,Remote,5.6
2.3,36781.8,1.6,8.5,35.9,Female,Software Development,No,Remote,1.0
8.2,74486.83,3.3,6.1,27.2,Female,Marketing,No,On-site,3.4
11.5,95073.05,4.2,4.9,22.6,Female,Software Development,No,Remote,4.8
12.7,112934.97,5.0,5.5,23.0,Male,Marketing,Yes,Remote,5.3
17.5,125545.31,5.6,4.4,16.9,Male,Product Management,Yes,On-site,7.3
8.0,67189.42,3.0,7.7,29.4,Female,Marketing,Yes,On-site,3.4
17.4,159175.21,7.1,2.8,10.6,Male,Marketing,No,On-site,7.3
6.7,84589.07,3.8,6.1,22.9,Male,Marketing,No,On-site,2.8
16.6,154041.92,6.8,3.4,12.3,Female,Software Development,Yes,Remote,7.0
14.1,145789.86,6.5,3.8,12.7,Male,Product Management,No,Remote,5.9
5.4,54855.53,2.4,8.2,33.3,Female,Software Development,No,On-site,2.3
11.5,133478.35,5.9,4.0,13.6,Female,Software Development,Yes,On-site,4.8
9.7,72098.58,3.2,7.2,27.5,Female,Product Management,No,On-site,4.1
13.1,97400.13,4.3,6.3,23.1,Female,Software Development,No,On-site,5.5
8.9,60643.4,2.7,7.2,22.6,Male,Product Management,No,Remote,3.7
8.5,61874.33,2.7,6.9,27.4,Male,Software Development,No,Remote,3.5
16.8,126688.51,5.6,5.0,18.1,Female,Product Management,No,On-site,7.1
9.5,92014.27,4.1,5.5,24.9,Male,Software Development,No,On-site,4.0
14.1,126780.72,5.6,4.6,17.0,Female,Software Development,No,On-site,5.9
8.9,70955.46,3.1,6.8,29.7,Female,Software Development,No,On-site,3.7
18.3,138509.06,6.1,3.1,15.2,Male,Product Management,No,Remote,7.7
6.6,70902.44,3.1,7.6,27.5,Female,Product Management,Yes,Remote,2.8
6.9,49152.02,2.2,5.7,32.3,Male,Marketing,No,On-site,2.9
17.6,120551.96,5.4,3.7,20.8,Male,Product Management,No,Remote,7.4
7.8,69461.67,3.1,7.3,25.3,Female,Marketing,Yes,Remote,3.3
18.0,184270.3,8.2,1.9,6.8,Female,Product Management,No,Remote,7.6
14.5,129260.63,5.7,4.0,15.6,Female,Product Management,Yes,Remote,6.1
9.2,90778.4,4.0,6.1,22.9,Male,Software Development,No,Remote,3.9
1.0,22639.2,1.0,6.7,42.4,Male,Product Management,Yes,On-site,1.0
9.9,100501.61,4.5,5.9,23.7,Male,Marketing,Yes,Remote,4.2
10.5,115272.36,5.1,5.0,16.8,Male,Software Development,No,Remote,4.4
15.8,85009.93,3.8,6.2,23.0,Male,Software Development,No,On-site,6.6
17.9,132509.53,5.9,4.1,17.2,Female,Product Management,Yes,Remote,7.5
6.6,74870.68,3.3,7.0,23.7,Female,Product Management,No,On-site,2.8
14.0,130155.25,5.8,4.2,15.4,Male,Product Management,Yes,Remote,5.9
13.8,96825.85,4.3,4.6,26.6,Male,Product Management,No,On-site,5.8
15.4,122691.75,5.4,5.6,16.8,Female,Product Management,No,Remote,6.4
12.5,101812.89,4.5,6.1,24.5,Female,Software Development,Yes,Remote,5.2
1.0,30941.55,1.4,7.5,39.9,Female,Software Development,No,On-site,1.0
9.2,106544.77,4.7,5.1,19.2,Male,Software Development,Yes,On-site,3.9
4.2,43608.4,1.9,7.9,28.7,Male,Software Development,Yes,Remote,1.8
9.0,94067.22,4.2,6.5,22.5,Female,Software Development,No,On-site,3.8
14.9,103145.25,4.6,4.3,18.7,Female,Marketing,No,Remote,6.2
11.5,85746.48,3.8,5.9,25.2,Male,Product Management,No,On-site,4.8
15.7,149117.8,6.6,2.8,13.2,Female,Product Management,No,Remote,6.6
11.7,119186.89,5.3,4.6,19.7,Male,Marketing,No,Remote,4.9
3.5,48392.7,2.1,7.5,36.9,Male,Product Management,No,Remote,1.5
1.0,24358.17,1.1,9.0,39.3,Female,Marketing,No,Remote,1.0
10.7,83815.54,3.7,5.9,26.7,Male,Product Management,No,Remote,4.5
8.9,98245.05,4.4,5.2,17.0,Female,Marketing,No,Remote,3.7
5.1,56508.24,2.5,8.0,31.6,Male,Software Development,No,Remote,2.1
1.5,27195.07,1.2,9.2,42.7,Male,Product Management,No,Remote,1.0
6.3,64896.02,2.9,7.5,17.8,Male,Software Development,No,Remote,2.7
9.0,66853.8,3.0,6.9,30.6,Male,Marketing,No,On-site,3.8
13.3,155725.42,6.9,2.9,12.1,Male,Software Development,No,Remote,5.6
10.9,124733.44,5.5,4.4,16.0,Female,Marketing,No,On-site,4.6
18.0,154509.95,6.9,3.3,13.8,Female,Product Management,No,On-site,7.6
4.8,67413.69,3.0,5.5,34.0,Male,Software Development,No,On-site,2.0
14.4,126849.47,5.6,4.5,19.2,Male,Product Management,No,On-site,6.0
10.2,104030.43,4.6,5.5,20.5,Female,Software Development,No,Remote,4.3
13.5,152168.73,6.8,3.3,11.5,Male,Software Development,No,Remote,5.7
7.8,78684.33,3.5,6.4,26.5,Male,Software Development,No,Remote,3.3
15.4,114545.79,5.1,3.7,21.8,Male,Product Management,No,Remote,6.4
11.5,72815.03,3.2,6.5,25.8,Female,Software Development,No,On-site,4.8
6.6,66620.54,3.0,8.3,27.1,Male,Marketing,Yes,Remote,2.8
9.9,98839.77,4.4,5.6,30.4,Female,Software Development,Yes,Remote,4.2
8.8,96968.85,4.3,5.5,25.9,Male,Software Development,No,On-site,3.7
12.4,108198.83,4.8,5.2,23.8,Male,Product Management,No,Remote,5.2
4.1,50330.75,2.2,8.0,25.4,Male,Software Development,No,Remote,1.7
