Sequel,Based_On_Book,Big_Studio,Genre,Budget_Million,Box_Office_Million,Critic_Score,Audience_Score,Profit_Margin_Percent,Marketing_Spend_Million
Yes,True,Low,Drama,39.910757797546395,42.19877280523973,37.50381664078044,41.60279774729986,36.92701567814306,67.59923489884652
No,False,High,Action,56.8841167143476,44.57029469811261,49.72360012906708,33.695884897980974,34.28379756065768,63.66011444474279
Yes,False,High,Sci-Fi,50.24970024683486,61.13204525754028,66.32731691652532,49.738320865338785,53.781591293414486,56.51712007652504
Yes,False,High,Drama,41.862168410276766,50.344006147192104,35.902266820287274,44.319831096048844,47.147241845744354,37.765622650138944
Yes,False,Low,Comedy,56.706280736211546,44.40847190331702,43.6982799968705,63.83314896260802,77.63125910370675,64.24532429172581
No,True,Low,Drama,56.22253338145798,48.967262826735386,59.504006476954565,51.59927491224724,49.677129142542455,64.61801381215864
Yes,False,Low,Drama,70.8935118636303,65.59026585564557,69.29881939242901,32.889070278102515,41.966114244742954,89.92100929062335
Yes,True,Low,Comedy,51.64520186507642,52.90898207320583,54.45675878930566,45.935475842544726,36.0599743949743,49.8882153148007
Yes,True,Low,Horror,63.52966327501506,57.002259779536274,66.4224214168487,43.978766279581464,50.04326465565564,35.890931942914165
No,True,Low,Horror,50.79843655050491,53.11597782819747,50.616724849774506,52.54844663017768,50.81546336819719,42.31240171895537
Yes,True,Low,Action,45.61054687509506,49.650845092126104,52.680383871511275,51.85771406172505,63.84236375633218,83.86834799652362
Yes,True,High,Action,41.30285528108329,50.502577223120035,30.60403886879238,51.36039093877817,45.12753608057273,53.283155724547505
Yes,False,Low,Horror,57.922615472881695,56.77635228908146,50.11518528051358,58.0841060745801,57.73448318090418,80.45737760400564
Yes,False,High,Sci-Fi,53.41441626401911,55.906189773661886,58.22131296980792,51.18765468427067,59.33203704612408,60.09384811456106
No,False,High,Drama,54.16062405512403,58.552156463339365,59.333320597525365,68.36178435182138,69.11217312380145,45.37970521923634
Yes,False,Low,Sci-Fi,50.69180983594487,46.86463480518218,50.141394254791415,67.32279631465533,69.80579534389113,90.0197693529924
No,True,Low,Drama,46.00811342196032,48.02863002401747,45.630482760049674,45.43645832789372,43.2906642152336,79.76665046588887
No,False,High,Horror,69.27582788499022,64.22157080402826,66.9087907798072,30.899577648756193,45.13495473844903,57.30724820652693
No,True,High,Action,47.7397469674033,46.99516030602561,46.33048880405561,56.2800697529905,51.340961473520714,74.95196649191382
Yes,False,Low,Action,60.43922461881185,50.161788904063926,59.40625160975158,50.38369413302819,48.384175305685446,61.84593549789427
No,True,Low,Sci-Fi,49.863005862058074,54.48273966610907,54.20708480052919,45.2100298148071,52.83313056711,66.5638142187949
Yes,True,High,Action,49.95270538982106,53.144881516331836,46.50842973166076,40.99467958695618,44.68053839032038,86.43482478242714
No,False,Low,Horror,28.618340917675788,27.72636623767721,28.1823739798459,46.154692240107416,52.38451015132608,37.205487202235624
No,True,Low,Sci-Fi,52.15894449842598,50.08212772441563,51.07819597478873,64.52074887722202,62.81849059372698,54.62041663817806
No,True,Low,Drama,57.83844036865166,46.53780959532095,50.79801950083671,76.32024762989569,68.5326390467661,60.438165235661096
No,False,High,Action,65.82848046538726,60.510076545029,73.01434344423089,59.182435045690774,53.81510321668264,65.01739812518014
No,True,High,Comedy,37.76146693826364,31.133700944028845,37.241542387573595,38.922195357191505,50.684623714321766,41.269704147642564
No,False,High,Action,76.57526660935474,67.04350633051718,73.96721267220236,37.92164709323943,44.97686240204423,73.75394180807757
No,False,Low,Drama,54.60526409790159,52.57622221803389,56.60230527657395,41.73794138252955,44.33094335230125,42.69050713665196
No,False,Low,Sci-Fi,57.50552862250624,59.52397745456425,53.03655631818248,54.932339214181255,48.315166803560615,41.25294139087286
Yes,True,High,Drama,44.26177108415406,36.455706106725174,35.295289228821474,59.265380041440615,59.472492445931316,56.23822400945317
Yes,True,High,Comedy,41.20560082178879,54.61902687122572,58.197408178512745,54.41288905962639,53.738337875298086,88.43253629088751
No,True,High,Horror,60.630076334460625,55.8287172154172,58.46621544246514,52.520786874181724,47.89671554166013,98.1246158976023
No,False,Low,Action,69.72340483060015,67.73308771857515,60.51713981833218,59.108410767097716,58.47181813915892,67.327832691424
No,True,High,Sci-Fi,46.63698295826201,43.07193524606631,40.418429928526294,58.6145109592766,65.38931493405607,56.42702939598584
Yes,False,High,Horror,46.373519932531586,67.21080602303228,55.16068406012223,49.54763250132092,52.18092057801933,62.344690467239005
No,False,Low,Drama,55.86959630024762,57.110657236309294,57.48743841717017,33.28466901718972,40.76336261917978,65.02364904689911
Yes,True,Low,Sci-Fi,53.74855990019789,51.46112887647715,63.514269169715,59.760480564837984,49.96078795163883,81.99598086901514
Yes,False,Low,Horror,42.36935861689385,44.92646476705019,42.22184978284302,53.58383201259681,54.78958981008461,41.7277738189609
Yes,True,High,Sci-Fi,41.332234425400856,46.302914428563184,47.44366689856739,36.21095442559436,32.5918306872242,77.916972079915
Yes,True,Low,Comedy,49.98250979953427,40.47324699406213,56.38453525575965,55.91052245238668,52.59066752354421,38.59893653933392
Yes,True,Low,Comedy,54.416244519631384,48.46140013719653,46.15697888148198,43.89511845972516,44.572883651737655,52.78656436779565
No,True,High,Action,36.42861826538236,29.491671009545094,34.17499932209061,49.58684423992574,49.906657001700104,59.96143704471936
No,True,Low,Action,52.328793517206364,59.1040742618476,50.955665836102895,48.62864731265244,62.36563585679671,66.16718546294402
No,False,High,Comedy,57.08223745525095,57.85720341241021,59.639554660321366,36.64024793483496,35.075413906698,59.945932228298254
No,False,High,Sci-Fi,39.01356098016365,45.83320613673232,44.944941573939516,47.14738855083564,43.721776120391816,62.625975701900835
No,False,Low,Comedy,31.191730613556853,39.229170693722175,33.171805842177726,62.502757801414226,63.420304034892396,60.60659759266498
Yes,True,Low,Action,40.11216301148757,39.239924629738624,48.89940010688048,33.91604711142758,27.52215278453724,37.18878712786666
No,True,Low,Comedy,49.18360762043703,42.73961277355041,53.434579787255466,42.05424200942024,41.59880576827223,68.62702655476693
No,True,Low,Comedy,54.47706027738305,47.32804730765123,50.625683181940325,52.09486800232392,47.28816004002515,72.16958258546639
Yes,False,Low,Sci-Fi,46.713036273798195,45.53514683612403,51.66333453272031,39.41900975201984,37.85723535941841,80.13979867517219
No,True,Low,Horror,48.42762310299521,49.551607712872425,46.07232359485462,51.12542526364267,60.02045912760519,87.70600826832623
Yes,False,High,Action,30.410876579379583,41.00938772168928,35.70994051999349,32.537216056966166,33.23099142039935,66.16250711671474
No,False,High,Sci-Fi,37.619726201944104,41.26220711130344,39.228804278537616,45.317299005433135,50.91617702808962,81.17267682809643
Yes,True,Low,Comedy,28.673519263819184,31.765891793655342,30.08235070246404,33.286503223149886,36.11339607821138,60.27149946485842
No,True,High,Comedy,69.43886611657767,57.84377456083439,59.43778143197231,28.65144688057839,13.583594712160615,38.24372638151846
No,False,Low,Horror,51.579267089782924,46.94653703391016,52.2799766775534,54.467954701879606,42.42600049011732,74.4162895236296
Yes,True,High,Action,61.17848002783374,62.56945613679612,55.81837724642556,47.9780023821576,44.97368864308325,71.09285226082358
Yes,False,High,Action,35.905254505618366,35.8186476956862,32.84814986105672,59.22145056229595,62.46366957619651,60.00940247754628
Yes,True,High,Drama,48.36124028787656,47.60376783020293,43.82871344667968,41.09447552167514,61.27419631536641,59.065772641415265
Yes,True,Low,Action,55.29414051641953,51.137757091506835,50.046923690611735,52.39928172444871,55.125347552218116,67.16999081170407
Yes,False,High,Horror,42.80779839138445,52.645919830784244,54.692430816734145,46.22954225952201,50.15995523552317,54.93650117045702
Yes,True,Low,Drama,33.65430977949501,37.98555104097521,32.455340718132824,20.885233819366682,22.067625591597288,66.63386009541813
Yes,False,High,Drama,67.33197698759945,71.50281537274083,69.28184513106183,48.23041289528184,47.40898034671126,46.16707555328584
Yes,True,High,Comedy,61.038692858163124,72.03210509674173,66.77832320555548,57.19548489235747,57.20162616169164,47.852610644792065
No,False,High,Comedy,45.805780987358595,50.69334208312298,40.723031737565556,55.490219063579275,49.22022637154259,40.19116050735268
No,False,High,Action,45.00524580774207,49.44524840102089,52.92674219863538,55.50876041686384,50.717041436536014,93.6608776790512
Yes,True,High,Drama,47.89627265152338,49.58900505713674,48.27416893109369,34.10894202877735,38.60427945216563,61.09623196391174
No,False,Low,Comedy,51.8048231646128,45.11723825532881,42.18760104059964,52.52236315011192,52.53505313069224,78.12385098979837
No,True,Low,Horror,65.5123969737548,71.53193931303561,58.302641916173926,37.087878122364316,40.32357925224163,43.54825755878284
No,True,High,Comedy,35.31549691095033,32.469101816977556,36.41836295572824,51.024629931682824,55.04416972140959,57.274702826617954
No,True,High,Comedy,51.40284463151977,49.87662156029761,44.390011076069925,43.28368447500646,51.255008516091074,68.27247794993639
Yes,False,High,Drama,57.24431463600965,50.74203966593411,48.219152290958014,64.8881891494435,63.12181347274068,82.06893187808723
No,False,High,Drama,65.19075834317196,61.62192390563062,68.5366942516909,54.27539176993889,58.834323508640594,50.96259196630445
Yes,True,Low,Sci-Fi,49.949300273916585,55.317718315684395,66.58056616477914,53.47150856873219,65.81896769011526,53.962095020899454
No,True,High,Horror,34.61366200857063,36.79611634882322,32.275329120855005,81.64936726293465,70.5683368494535,48.12070859980302
No,False,Low,Drama,50.615641042930314,45.44339669254396,55.867748667354505,41.35945386758636,41.6177513814999,58.19080245544671
No,True,High,Action,48.48227011026358,46.152834266262275,43.00598814423436,79.64952223509594,71.55892282638865,44.70227268774715
Yes,True,Low,Horror,47.04905603258388,51.483538946929045,48.37033337656623,47.82716683884603,46.31129786156756,38.448866426125335
No,False,High,Horror,56.916493300391664,56.86703638962854,53.49281404566261,53.99157012309199,47.97737384285904,63.880186282248545
Yes,True,High,Drama,37.71774068295949,38.79489730837887,37.318965656220534,41.52268389990235,42.63550442901863,70.05894939166605
No,False,Low,Horror,47.51268942583289,39.768551191867374,44.43210386070779,63.68768562141935,74.68222062408032,42.914356671328676
Yes,True,High,Drama,53.69975918462511,57.53533501930957,48.08288038731173,44.324043850966525,51.86050239537596,49.88261655812451
No,False,High,Comedy,58.71715102653617,53.4956161070527,52.3587100376007,56.737103623250334,44.28846497622482,58.500788971883686
Yes,True,High,Sci-Fi,50.06904049371766,46.40977480735274,43.27818933580903,41.88172559592857,42.891789326221115,85.6012853208622
Yes,True,Low,Comedy,50.3262055046736,44.58935353599552,40.58157185225342,41.42783487576251,48.25035171008223,17.511427638253757
No,False,High,Drama,45.66337308635277,55.61091204837266,51.20220913811051,45.698335105474236,57.13064793632888,66.67456939679073
Yes,True,High,Drama,57.76936218452018,55.58180054902766,56.14888557448626,73.63798391196808,76.81490234046656,70.18879778550316
No,False,Low,Comedy,42.22031493066845,61.34596140269427,51.49332989189504,55.391970762499156,36.94795729248416,49.3179448243306
No,True,Low,Action,37.73197219830897,29.270634021853976,48.65941195357007,49.43558294129882,43.77167094805069,54.761557868769486
No,False,Low,Action,40.502467766200866,29.933634565643906,36.18516519448967,56.174618447780674,46.97845740213531,64.99485119667176
No,False,High,Action,29.934951452098566,41.7245519713667,38.2750454515501,58.77196105705018,67.47951053933622,59.55548494374634
No,False,High,Drama,62.95530580314312,72.4338309806722,64.6964857458998,67.08663677727827,45.98129360401343,85.48591128595451
No,False,High,Horror,46.0492706065734,53.75733217018248,71.88804101978195,30.671208508055177,44.43764521494659,61.539676544606586
No,True,Low,Drama,42.09475062553458,49.2795892518088,33.84688670445759,51.30221890805133,58.671454309108555,72.91835122649766
No,True,High,Horror,39.92970236778965,49.02302474087554,41.873763768498556,75.83417765986567,61.415617986184614,66.75386536784613
No,False,High,Comedy,44.769455174184614,43.11382148350265,47.53081979148383,62.77470912637836,69.61661904480566,70.41178280776663
No,False,Low,Sci-Fi,62.59941613778566,61.681706532760984,57.1678440986824,52.40425451679067,53.500429951884755,48.33916847342762
No,False,Low,Horror,68.76405725204641,69.09900014796335,71.87469286829732,41.873287199560664,26.960381383873596,63.01783589100664
Yes,True,Low,Action,42.033103846287716,36.53883586246065,43.64567479624117,30.06928696430209,27.825277485901065,59.01654110955382
Yes,True,Low,Drama,59.48864646481336,59.660848776747,65.70889939661528,54.6517762645603,50.3755268614912,49.25662485865476
No,True,Low,Comedy,53.860357898791364,50.341954629271555,44.6195150014506,60.49343880003419,57.76294187203418,73.875262021837
No,True,High,Action,48.9398099353106,48.39131987143561,48.739922253977106,55.21028323370798,67.14955993561075,29.768978897067097
No,False,Low,Comedy,63.37241484677242,56.38961228520378,67.37223397836615,29.474210744187513,37.517712461757206,80.20431328857073
No,False,High,Sci-Fi,56.36484026877852,53.666812290342286,50.55728858362891,38.186382942326595,28.573513808883934,26.718671180379594
