ID,Program,AssignmentScore
1,Social Innovation,3
2,Computational Systems,2
3,Computational Systems,3
4,Sustainability,4
5,Sustainability,2
6,Business Transformation,2
7,Social Innovation,4
8,Social Innovation,3
9,Business Transformation,2
10,Social Innovation,3
11,Social Innovation,2
12,Social Innovation,2
13,Social Innovation,3
14,Social Innovation,1
15,Sustainability,1
16,Social Innovation,2
17,Sustainability,1
18,Social Innovation,3
19,Business Transformation,2
20,Computational Systems,1
21,Sustainability,4
22,Social Innovation,2
23,Business Transformation,3
24,Computational Systems,1
25,Sustainability,2
26,Computational Systems,3
27,Business Transformation,1
28,Sustainability,3
29,Computational Systems,2
30,Social Innovation,2
31,Sustainability,2
32,Computational Systems,4
33,Business Transformation,2
34,Business Transformation,1
35,Sustainability,3
36,Computational Systems,1
37,Sustainability,3
38,Sustainability,1
39,Computational Systems,1
40,Computational Systems,3
41,Social Innovation,3
42,Computational Systems,3
43,Business Transformation,2
44,Sustainability,2
45,Sustainability,1
46,Business Transformation,2
47,Computational Systems,2
48,Business Transformation,4
49,Business Transformation,3
50,Social Innovation,1
51,Business Transformation,3
52,Sustainability,2
53,Business Transformation,2
54,Sustainability,3
55,Sustainability,4
56,Sustainability,3
57,Computational Systems,2
58,Social Innovation,2
59,Sustainability,3
60,Sustainability,3
61,Computational Systems,2
62,Sustainability,2
63,Business Transformation,1
64,Business Transformation,1
65,Social Innovation,3
66,Sustainability,4
67,Computational Systems,2
68,Business Transformation,4
69,Computational Systems,3
70,Computational Systems,2
71,Business Transformation,3
72,Computational Systems,4
73,Business Transformation,2
74,Computational Systems,4
75,Business Transformation,0
76,Sustainability,3
77,Social Innovation,3
78,Business Transformation,2
79,Business Transformation,3
80,Social Innovation,1
81,Business Transformation,2
82,Business Transformation,3
83,Computational Systems,4
84,Social Innovation,2
85,Sustainability,2
86,Business Transformation,2
87,Social Innovation,3
88,Computational Systems,3
89,Sustainability,2
90,Social Innovation,3
91,Sustainability,3
92,Sustainability,3
93,Sustainability,2
94,Business Transformation,2
95,Business Transformation,2
96,Computational Systems,1
97,Computational Systems,3
98,Social Innovation,3
99,Computational Systems,3
100,Sustainability,2
101,Sustainability,1
102,Business Transformation,2
103,Sustainability,2
104,Social Innovation,2
105,Sustainability,2
106,Sustainability,3
107,Social Innovation,4
108,Computational Systems,3
109,Computational Systems,3
110,Social Innovation,2
111,Business Transformation,1
112,Sustainability,2
113,Social Innovation,3
114,Sustainability,5
115,Business Transformation,2
116,Sustainability,3
117,Social Innovation,2
118,Sustainability,1
119,Computational Systems,4
120,Business Transformation,3
121,Business Transformation,3
122,Business Transformation,2
123,Social Innovation,4
124,Business Transformation,1
125,Computational Systems,3
126,Social Innovation,5
127,Computational Systems,2
128,Sustainability,2
