City,Rank,Building,Height,Floors,Year_Built
Dubai,1,Burj_Khalifa,828,163,2010
Dubai,18,Marina_101,427,101,2015
Dubai,22,Princess_Tower,414,101,2012
Dubai,25,23_Marina,395,89,2012
Abu_Dhabi,30,Burj_Mohammed_bin_Rashid,381,88,2014
Dubai,32,Elite_Residence,381,87,2012
Dubai,36,The_Address_the_BLVD,368,72,2016
Dubai,39,Almas_Tower,363,68,2009
Dubai,40,JW_Marriott_Marquis_Dubai_Tower_1,355,82,2012
Dubai,40,JW_Marriott_Marquis_Dubai_Tower_2,355,82,2012
Dubai,42,Emirates_Office_Tower,355,54,2000
Dubai,44,The_Marina_Torch,352,86,2011
Abu_Dhabi,52,ADNOC_Headquarters,342,76,2015
Dubai,52,Ahmed_Abdul_Rahim_Al_Attar_Tower,342,76,2015
Dubai,63,Rose_Tower,333,72,2007
Dubai,70,Al_Yaqoub_Tower,328,69,2013
Dubai,73,The_Index,326,80,2010
Abu_Dhabi,75,The_Landmark,324,72,2012
Shanghai,2,Shanghai_Tower,632,128,2015
Shenzhen,4,Ping_An_Finance_Centre,600,115,2016
Guangzhou,7,CTF_Finance_Centre,530,111,2016
Shanghai,9,Shanghai_World_Financial_Center,492,101,2008
Hong_Kong,10,International_Commerce_Centre,484,118,2010
Nanjing,13,Zifeng_Tower,450,89,2010
Shenzhen,15,KK100,442,100,2011
Guangzhou,16,Guangzhou_International_Finance_Center,440,103,2010
Wuhan,17,Wuhan_Center,438,88,2016
Shanghai,21,Jin_Mao_Tower,421,88,1999
Hong_Kong,24,Two_International_Finance_Centre,412,88,2003
Guangzhou,26,CITIC_Plaza,391,80,1996
Shenzhen,28,Shun_Hing_Square,384,69,1996
Dalian,29,Eton_Place_Dalian_Tower_1,383,81,2015
Hong_Kong,33,Central_Plaza,374,78,1992
Dalian,35,Dalian_International_Trade_Center,370,86,2016
Hong_Kong,37,Bank_of_China_Tower,367,70,1990
Shenyang,45,Forum_66_Tower_2,351,68,2015
Guangzhou,46,The_Pinnacle,350,60,2012
Hong_Kong,50,The_Center,346,73,1998
Wuxi,54,The_Wharf_Times_Square,339,68,2014
Chongqing,54,Chongqing_World_Financial_Center,339,78,2014
Tianjin,57,Tianjin_Modern_City_Office_Tower,338,65,2015
Tianjin,58,Tianjin_World_Financial_Center,337,79,2010
Guiyang,59,Twin_Towers_Guiyang_East_Tower,335,74,2017
Guiyang,59,Twin_Towers_Guiyang_West_Tower,335,74,2017
Shanghai,62,Shimao_International_Plaza,333,61,2005
Wuhan,64,Minsheng_Bank_Building,331,68,2008
Beijing,65,China_World_Trade_Center_Tower_3,330,74,2009
Zhuhai,65,Zhuhai_St_Regis_Hotel_Office_Tower,330,67,2017
Wuhan,65,Yuexiu_Fortune_Center_Tower_1,330,66,2017
Shenzhen,69,Hon_Kwok_City_Center,329,80,2015
Huaxi_Village,70,Longxi_International_Hotel,328,72,2011
Wuxi,70,Wuxi_Suning_Plaza_1,328,68,2014
Nanning,74,Guangxi_Finance_Plaza,325,68,2016
Nanjing,75,Deji_Plaza_Phase_2,324,62,2013
Mecca,3,Abraj_Al_Bait_Clock_Tower,601,120,2012
Riyadh,27,Capital_Market_Authority_Headquarters,385,77,2016
Seoul,5,Lotte_World_Tower,555,123,2016
New_York_City,6,One_World_Trade_Center,541,104,2014
Chicago,14,Willis_Tower,442,108,1974
New_York_City,19,432_Park_Avenue,426,88,2015
Chicago,20,Trump_International_Hotel_and_Tower,423,98,2009
New_York_City,31,Empire_State_Building,381,102,1931
New_York_City,38,Bank_of_America_Tower,366,54,2009
Chicago,49,Aon_Center,346,83,1973
Chicago,51,John_Hancock_Center,344,100,1969
Los_Angeles,59,Wilshire_Grand_Center,335,73,2016
Taipei,8,Taipei_101,509,101,2004
Kaohsiung,48,Tuntex_Sky_Tower,347,85,1997
Kuala_Lumpur,11,Petronas_Tower_1,452,88,1998
Kuala_Lumpur,12,Petronas_Tower_2,452,88,1998
Kuwait_City,23,Al_Hamra_Tower,413,80,2011
Moscow,33,Federation_Tower,374,95,2015
Moscow,43,OKO_Tower_South_Tower,354,85,2015
Moscow,54,Mercury_City_Tower,339,75,2013
Hanoi,46,Keangnam_Hanoi_Landmark_Tower,350,72,2011
Pyongyang,65,Ryugyong_Hotel,330,105,1992
