Remote_Work,Has_Health_Benefits,Department,Job_Level,Avg_Weekly_Work_Hours,Avg_Employee_Satisfaction_Score,Avg_Stress_Level,Performance_Score,Project_Deadlines_Met (%),Num_Annual_Projects_Completed
0,0,HR,Senior-Level,39.8892980312461,5.888719537505389,45.09474023585344,53.100663149180136,53.923866764337205,3
1,1,Finance,Senior-Level,34.48217780748661,6.24608220054442,46.79814830974343,60.49215057350209,60.943720190208175,7
1,1,Finance,Senior-Level,36.05501742080183,4.945963495281003,57.44298781044974,37.957472966680754,41.654700258420796,2
1,1,Finance,Senior-Level,51.54905602775051,6.159239652694545,41.97024931148512,49.32769331823462,50.9730368642879,6
0,1,HR,Senior-Level,29.94794484576595,5.377388279288277,57.67249363042792,34.986192934761846,33.53167316225525,4
0,1,Marketing,Entry-Level,46.505641493983816,3.50807540316678,79.02731060090343,20.796209813153165,19.138065627329418,8
0,1,HR,Senior-Level,37.76829655734553,5.068784513640336,62.23251533666394,46.121737310554366,42.203264209117506,5
1,1,Marketing,Senior-Level,37.76191865203332,5.702906543942982,49.27867239003841,61.74558122035235,62.1336742351916,1
1,0,HR,Entry-Level,46.32297516841369,6.010243078532142,47.25274293420058,55.998414613047146,51.78506986054735,2
1,1,HR,Entry-Level,42.72041035655112,6.184646427388592,44.64990298730193,50.44386726969472,53.173838312478296,3
0,0,Marketing,Entry-Level,44.564903977756245,4.841621656734666,67.70961368678218,27.914927536342713,29.682393169999305,6
1,1,Finance,Entry-Level,47.74547728426289,6.409724097511849,40.59029831073046,63.78888833309806,65.46125633451608,8
1,1,Marketing,Entry-Level,37.34953293453342,5.571622185430122,50.678340634999735,55.97983651483946,52.01435517959609,4
0,0,IT,Entry-Level,35.102106123938,5.623884164810584,50.76796852821628,46.022046499517046,45.572156296186634,3
0,1,IT,Senior-Level,31.318795787537617,6.52515765563807,42.47323710782702,64.64901536670935,63.48109850444864,6
0,1,Marketing,Senior-Level,33.39671576016836,7.301238012452204,29.413016781738488,69.43918235324291,69.7476015066212,6
0,0,HR,Mid-Level,60.0,5.8449051441905215,54.84461755426502,48.72680232624185,50.3123409686597,8
1,1,IT,Senior-Level,49.95743664589429,5.675273863018826,49.08494042216925,56.642394510627454,55.10160335932143,6
0,1,IT,Senior-Level,29.19140507033583,5.603848478097816,57.50360704154855,35.08755371358354,33.65960314060787,6
0,0,HR,Entry-Level,29.42033634605144,6.103808780028876,41.99599540341249,60.26119842925488,62.300981938860836,5
1,1,HR,Entry-Level,43.854928493747934,4.463869412216676,68.31231948219572,38.830893237877056,35.442393349527556,4
0,0,Finance,Senior-Level,44.37811837902373,7.336286078286383,36.848393281822325,60.348281616374365,58.108297307112274,5
0,1,HR,Mid-Level,44.39107068253892,3.362032416709198,75.68060426026838,19.03648856184545,19.05399905794757,5
0,1,Marketing,Entry-Level,37.960353651570415,8.486205930717915,23.78545235257608,78.68847482407442,81.38763594316302,6
0,1,Marketing,Senior-Level,38.9963659199768,5.242754113052731,56.52155096835337,44.145665426866536,41.23934121163951,11
1,1,Finance,Senior-Level,42.62303619327486,5.684760088616079,57.13146023789936,41.23201960572874,46.60111657451789,8
0,1,IT,Mid-Level,40.687144050346646,7.004599711889484,38.06664398088677,61.922292469314456,57.870304185817574,7
1,1,IT,Mid-Level,22.24559701801972,5.104427780880619,56.36590906791519,35.282620903305556,39.93345737554125,7
1,1,HR,Entry-Level,38.16160295539845,3.92223752105024,69.19278004640239,32.82959656785032,36.428367014830535,4
