Gender,Educational Degree Level,Major,Most Active Platform,Account Type,Type of Content,Age,Monthly Average Number of Posts Created,Avg Time Spent on Platform (minutes/day),Monthly Average Number of Likes Given,Monthly Average Number of Comments Received,Monthly Average Number of Shares,Number of Followers,Engagement Rate (%),Income in USD,Monthly Average Number of Views
Male,None,Science,YouTube,Business,Fashion & Beauty,33,18,263,1389,198,128,38523,3.508238663,17414,801804
Female,High School,Science,TikTok,Business,Travel,28,18,235,724,278,148,65038,2.499868009,28120,389040
Male,PhD,Business,Instagram,Personal,Education,35,12,183,590,181,83,81318,1.6843873,34220,509126
Female,None,Engineering,Instagram,Influencer,Education,42,21,141,998,253,69,256984,1.892237783,133798,510345
Male,Bachelor's,Other,Twitter,Personal,Gaming,28,16,221,914,15,45,132085,2.066689671,64628,409073
Male,PhD,Arts,Instagram,Business,Education,28,14,203,773,331,58,51286,1.71965901,26615,288767
Female,Bachelor's,Engineering,TikTok,Influencer,Travel,42,16,233,1348,300,247,127509,4.63503736,68156,568953
Female,Master's,Business,YouTube,Influencer,Gaming,36,9,218,1477,177,162,46132,3.618323855,23678,487946
Female,Bachelor's,Business,YouTube,Business,Education,26,21,242,1044,398,32,171831,1.654922642,91566,610760
Female,PhD,Science,Pinterest,Business,Art (Drawing),34,12,147,1738,440,33,79012,2.980359351,39231,403900
Female,Master's,Engineering,YouTube,Business,Art (Drawing),26,18,259,429,58,124,95426,2.699472391,42049,814795
Male,PhD,Science,Twitter,Business,Art (Drawing),26,21,191,903,185,127,194040,2.981822159,107282,352094
Male,PhD,Arts,TikTok,Business,Art (Drawing),31,16,304,641,184,127,52540,2.125793593,24722,991703
Female,Master's,Science,Pinterest,Business,Art (Drawing),14,10,138,66,159,87,49730,1.188581366,22538,248527
Female,Bachelor's,Arts,Twitter,Influencer,Gaming,16,16,284,958,424,93,74691,2.470440409,36681,594973
Male,High School,Business,Twitter,Business,Fashion & Beauty,25,19,191,939,270,116,168066,2.35304209,76362,604728
Male,High School,Science,Twitter,Business,Fashion & Beauty,21,13,140,1756,260,104,46781,4.055406915,22414,363720
Female,High School,Science,Instagram,Influencer,Gaming,32,8,150,1315,0,0,24266,2.198430409,12550,592508
Female,High School,Other,Twitter,Personal,Gaming,22,13,160,487,395,88,79805,1.098480112,41292,834151
Male,None,Business,Instagram,Business,Travel,18,17,205,1927,114,57,131767,3.631785889,59968,206000
Female,High School,Other,YouTube,Influencer,Fashion & Beauty,41,17,211,1610,308,108,182235,3.267952742,86673,611372
Male,Master's,Arts,Instagram,Influencer,Art (Drawing),28,12,145,1291,341,249,79327,4.333490245,43924,184435
Male,High School,Arts,Twitter,Personal,Gaming,30,13,178,886,504,118,81406,2.631868158,42723,339794
Female,PhD,Business,TikTok,Business,Art (Drawing),18,22,308,520,103,84,178059,1.884383728,107503,959367
