Annual_Income,Account_Age,Average_Session_Duration,Monthly_Spend,Items_Purchased_Per_Month,Customer_Rating,Region,Device_Type,Preferred_Category,Payment_Method,Customer_Segment,Signup_Source,Is_Prime_Member,Used_Coupon_Last_Month,Churned
50.56649924897107,27.480755777586666,28.694166152541673,30.260405007909394,33.64970770822499,3.1866540728154655,Asia,Desktop,Books,PayPal,Regular,Organic Search,0,0,0
55.29692754356731,31.543146289344225,26.34500284515002,32.749097462896614,31.74863046598659,3.154571257968394,Asia,Desktop,Electronics,Bank Transfer,Budget Shopper,Ad Campaign,1,1,1
49.29501221940909,26.936370440463975,20.14193435793436,34.45813891731632,35.83645179676831,2.7385778288560187,Other,Desktop,Electronics,PayPal,Budget Shopper,Organic Search,1,0,1
54.86501643826202,35.8049703858687,31.336650956539426,28.612293353073156,36.398321325647295,3.4379493153193774,Europe,Mobile,Electronics,Bank Transfer,Premium,Referral,1,1,1
50.6447441481012,25.29439197990537,32.822057326378825,27.336769532274324,33.61346100638699,2.78793056769691,Europe,Mobile,Books,Bank Transfer,Regular,Referral,0,0,1
30.245334336461287,18.466375446193208,18.773188744282926,22.292412170166692,19.62732908185185,1.4607235522630062,Asia,Mobile,Home,Bank Transfer,Regular,Organic Search,1,0,1
40.606646061812455,14.844818650209657,22.32283804986201,21.981847896352036,24.58216887490033,2.234831014569541,Europe,Tablet,Books,Credit Card,Budget Shopper,Organic Search,1,1,0
48.55912444278385,22.34406370901992,24.05579601047924,32.73760697499667,32.32573907693004,2.9336984594809508,Asia,Desktop,Clothing,Bank Transfer,Budget Shopper,Referral,0,0,0
37.90305257158892,22.42921507362335,15.931942567142507,29.53957547498819,26.301543697282842,2.5334096719869903,Other,Tablet,Books,Bank Transfer,Premium,Ad Campaign,1,1,0
55.99928729996205,32.24515420369674,34.5559889834411,31.99239227221069,30.285401825265893,3.220616456043227,Other,Mobile,Clothing,PayPal,Budget Shopper,Ad Campaign,1,1,1
65.30750832343698,31.183919423397576,40.031101874125476,41.90995430036341,40.5642174795227,4.0100185369504775,Asia,Tablet,Clothing,Bank Transfer,Budget Shopper,Referral,0,0,1
62.18761851697317,30.73581299919625,27.247406144226943,32.697801984824466,39.52963763961999,3.214691746552183,Other,Mobile,Books,Credit Card,Budget Shopper,Ad Campaign,1,0,0
47.86557129069792,16.343416911944914,33.480339611696934,31.73827596668999,32.00921845888362,2.647717037484214,North America,Desktop,Clothing,Bank Transfer,Budget Shopper,Organic Search,1,1,0
