Campaign_Type,Customer_Segment,Avg_Session_Duration,Discount_Used,Total_Amount_Spent,Num_Ads_Clicked,Customer_Satisfaction_Score,Purchase_Frequency,Num_Reviews_Posted
0,Loyal Customer,7.967598227815302,11.12985188843172,101.59715980760076,8.217196674225137,3.897993359484711,4,0
1,One-Time Buyer,3.482434551622074,14.26923173511052,107.58309171729546,5.764259825760764,6.433903733496143,4,0
0,Bargain Hunter,6.888003221226221,10.246308002906902,178.40756282291088,5.246978958038266,6.775323653872407,0,8
0,Bargain Hunter,7.613371807997419,12.080853393452307,127.40013297985433,3.87621945421147,3.253004977231408,7,0
0,Bargain Hunter,7.306895577188422,14.311878074226883,233.73165515039037,7.132767295256706,3.1941295265504297,3,1
1,Bargain Hunter,3.4715223443029295,17.628848734249782,109.18722658687112,6.182436396323319,5.337885022975399,0,1
0,High Spender,5.632952973356647,11.829137657902752,134.78927078593188,7.919092154689697,5.9440409501433376,3,0
0,Bargain Hunter,7.1170690426498915,9.026645965544144,112.85593768165293,8.75911198366402,4.551396372154918,1,4
0,High Spender,9.391585011346173,15.172274054688751,219.61844947555193,8.240398405236014,6.018940729973524,5,4
1,High Spender,0.7063476579902073,20.77690413949226,107.41976165508943,7.8212920548477065,3.9347950897439268,1,0
0,Bargain Hunter,6.339753720236924,15.314821756581674,128.9621056275532,5.174775675436373,1.8279596013893968,2,3
0,Bargain Hunter,9.070241491265486,15.342827300435443,144.18460011642173,6.8983448143692465,4.3641483915011055,3,0
0,Loyal Customer,8.528953078617766,15.445814484759882,102.70387398674474,6.917350571654428,5.094848219769652,0,2
0,One-Time Buyer,3.151276669217731,11.384958700400928,114.3247064507342,7.094960311072936,4.5862400601553155,2,0
1,Bargain Hunter,4.493015437215494,19.676259257042346,110.15314504338573,5.528927693441057,3.262095104510772,1,2
0,Loyal Customer,4.187767139916955,12.319048577152886,163.01431983782146,9.940813274515845,2.2765265361817737,2,2
1,Loyal Customer,10.067175902494652,14.057731561893037,154.2184960965666,8.504213458869145,4.228866793448153,0,2
1,One-Time Buyer,5.9845300414845095,2.072188999520705,198.10742916331745,9.343643194174721,6.346483657474615,0,0
1,High Spender,10.744807048855323,18.421677617559645,195.52486413517295,5.71610565748225,6.884296159120524,3,3
0,Bargain Hunter,9.870761691320851,15.055097325618803,129.8737595117317,7.247654656079069,6.781570076207682,1,0
1,One-Time Buyer,6.9351818918367485,15.474198266368848,127.75370763116698,8.368390248319878,3.7761356972771702,0,1
0,Bargain Hunter,7.504745960105074,9.5457575407297,105.15011267387494,8.134166642635414,3.269440514554454,0,2
1,Loyal Customer,8.943628472955234,14.18264078583617,172.44295679601794,12.41998486843538,5.744951922469843,2,4
1,Loyal Customer,8.964337886493443,9.841702944642151,116.87242190957684,10.008381771629686,5.952650017396888,2,0
1,High Spender,9.339249490396808,20.814796411229615,101.33897090297631,7.631374988311883,5.600254407800746,2,0
1,Loyal Customer,9.77732420388186,1.5751908645987562,176.90422810272136,5.772293885701949,1.978905088643355,0,0
1,Loyal Customer,9.12401974145574,19.14157517132553,158.82851801279895,7.3380444496949755,3.6996731226748,1,9
1,One-Time Buyer,7.220656949561183,15.691767670804836,128.44313950847217,8.276949066973367,4.955466814571032,3,0
1,Bargain Hunter,2.506918188842776,12.308372652577507,196.4847688817549,4.900520224592662,5.730827291945641,1,0
1,Bargain Hunter,4.852107002206037,13.021207294690164,122.82630438780436,10.196596921567506,6.15096104390373,14,1
0,One-Time Buyer,9.475428466830657,20.80414106038537,147.9078314037643,6.705308561112801,5.21638028342306,2,1
0,High Spender,7.710596667420741,12.943779210246912,179.70510731834278,9.302298262188444,5.496175709807354,0,0
1,Bargain Hunter,4.1887862277599295,1.2694284240023173,134.47937502543988,7.32431655780203,5.127298187541657,0,1
1,Loyal Customer,9.767795190263604,16.658408145339042,147.67155423259092,11.42174149302182,6.028429061327724,0,0
1,Bargain Hunter,4.690243246762958,0.44958564397388656,91.18865650692629,9.058768553668264,5.469298477236366,0,6
0,Loyal Customer,3.405816869515994,8.500014076246966,105.43828947027133,5.629761267508836,5.098606490070931,0,3
1,High Spender,6.914134837710981,14.522180550899998,156.74928317756002,11.138888989895843,4.597446801293929,2,0
0,One-Time Buyer,5.02122755671173,16.14162158505606,141.1454376535163,9.962970439514438,5.121937137563721,0,1
0,Bargain Hunter,9.420629877486206,15.358585746952162,118.51543363568493,5.333368622164813,5.726887068258912,1,0
0,One-Time Buyer,3.9336265876045395,3.4196901659853722,116.30484892752717,6.411679808439153,5.401213083347092,0,3
0,Bargain Hunter,7.556641642095967,18.04958991435217,107.43092209322917,11.23351206354659,5.571239627517881,4,0
0,Loyal Customer,3.112313100817449,12.240674716396375,106.38040198725659,10.958325523283854,7.0140827920267785,1,3
1,One-Time Buyer,1.5229261817297246,19.608566143518527,152.39426614841636,7.885601462230854,5.397745884119881,5,0
1,Bargain Hunter,8.744790073417818,5.863065937674765,88.95458120698271,6.8280359047607195,4.026502219290263,4,5
1,Loyal Customer,7.66416181281366,20.80033611653967,108.92461671224115,7.881056062354404,6.325410178991254,0,2
1,One-Time Buyer,3.1952248900871263,5.587798503278712,95.4082523397753,5.890824040024497,2.9507024934966237,5,0
1,One-Time Buyer,1.313295645532122,5.466555100498486,103.07414305500426,9.395472405017056,3.377879928891069,1,0
0,Bargain Hunter,6.26149095907341,18.435816254888387,139.4619793703444,5.1965451870746415,5.503770897080104,5,1
1,Bargain Hunter,8.008690329250687,12.988151383222952,146.85344408538964,5.363991498771107,5.774595001679868,6,3
1,Bargain Hunter,8.594752575336788,15.462964618154412,138.1542392128671,7.104796037341293,3.1324231647440075,0,1
0,Loyal Customer,2.7870622552217146,3.6893471678269805,140.27650468162165,6.146459565696713,4.425773778519875,2,0
1,Bargain Hunter,5.277534030342111,11.970940917031074,159.33789568550088,6.643177910978904,4.090874251670512,1,0
0,One-Time Buyer,4.264134758123179,6.706549811340722,118.00439334033717,7.885720198069439,4.269985515677605,6,0
1,One-Time Buyer,5.977231125290484,20.103960214260486,138.43138289581407,5.12082950968099,6.4153966644094185,0,5
0,Bargain Hunter,10.332355610058583,19.515993936015445,191.9027213883977,6.28175123170567,6.059758195320879,3,5
1,Bargain Hunter,9.142014122026024,17.839519513612398,100.43997189296175,9.024561060132164,4.9713167302194385,4,0
1,High Spender,1.412841523756681,3.7556432795120003,141.646783748769,8.213006160758615,4.181057109327608,0,0
0,One-Time Buyer,4.986912673450801,4.800946691594971,123.03790060382006,10.209480404350462,2.975525494669789,4,1
0,Loyal Customer,5.118036951203498,3.6554241332016986,154.19259206898903,6.883341482068596,7.1302774081729225,1,0
0,High Spender,9.115684524324369,19.048996880041987,137.8472145700543,6.0141078891291055,5.888170850427377,7,0
0,Bargain Hunter,9.861703670299768,15.89637658327488,136.02202467279693,6.897444999690192,3.9399963438902894,0,0
0,Bargain Hunter,5.124940379510022,6.52010698027828,91.97803394936615,6.970446395292897,6.079399246437337,2,0
0,One-Time Buyer,4.913818194601236,7.437226794370391,118.96873455849877,10.924496026474152,4.894664569138062,0,1
0,Bargain Hunter,8.190284788369627,11.239188994731652,127.77191286679079,7.764047479576292,4.569335742706485,1,2
0,Loyal Customer,9.310463910844296,21.029419549232863,164.25597768143015,13.264050463815302,5.652817292434404,0,1
1,One-Time Buyer,6.726501564758927,7.615771401707276,120.68723270689776,7.338323036721252,3.8877526251309127,2,8
1,Bargain Hunter,9.614234469745771,12.086329943354217,178.0913515329197,4.619226630512426,4.484365220734835,4,1
0,One-Time Buyer,2.821457035340769,12.697865475318128,135.7097072629162,6.436780326978014,5.182191596299319,0,4
1,Bargain Hunter,6.057796862736064,14.333350604763472,136.5821459423949,11.889749064519616,4.25082321067218,0,2
1,Bargain Hunter,7.029987547692868,17.524108903967207,117.95847017234979,8.129451415596531,6.003627815401286,0,0
1,Bargain Hunter,7.457885431742177,15.652729781383592,226.30811269102315,6.803915130888278,7.803599755517391,1,2
1,Loyal Customer,5.801107159676839,12.796625505223124,220.3647600492747,7.420774415332916,3.868552801089286,5,0
0,Loyal Customer,7.837589484235831,6.624140172610684,132.04010770858275,5.35565324004702,2.5023120555439333,2,1
1,One-Time Buyer,4.891346668492574,15.666100225777118,97.70343720223208,9.628862645949551,1.9973897487856078,5,2
0,Bargain Hunter,3.8165898040348543,7.340111797366644,144.38350207884324,4.336951925596889,4.774297787757527,3,0
1,Bargain Hunter,7.73634303517254,15.264417804447536,197.27414749256684,9.30677280431697,4.005253114810726,1,0
1,Loyal Customer,4.750248175168705,15.697593928210397,120.88792805485761,4.5631500644718015,5.311790751600621,2,5
1,Bargain Hunter,7.469455829005998,16.579788794668005,141.43930467041295,6.496478205908765,5.198896508039152,2,0
0,Loyal Customer,7.039148021130222,7.011980723172712,103.45625084380525,8.872812671337517,2.5951747300788557,1,1
1,Bargain Hunter,7.092382737166938,17.71342607566862,113.13062041386868,8.011295073271304,2.277674255777891,0,2
0,One-Time Buyer,8.888788720712997,15.677360921544924,111.13519393101144,5.908880852288857,5.443899860519143,0,2
1,Bargain Hunter,1.8579157793806331,13.707178893694806,128.46164582452684,10.481356850011558,5.203143252079935,1,0
0,Bargain Hunter,3.019995072031981,9.20495254229154,136.9666509011428,9.596416418924857,4.361273002450173,2,2
1,High Spender,0.2944985517931329,12.895875136138864,183.80729777679204,5.279566069828475,2.514284622301543,7,0
0,Loyal Customer,5.905583720411768,15.264002394283914,109.27690469665971,5.367395776276725,5.707086894147486,0,1
0,Bargain Hunter,9.454427681276181,18.410320392276866,188.47935623697242,7.259258969593613,6.907849318135915,2,1
1,Bargain Hunter,9.438868329474055,11.150350276185506,102.91671425896264,8.81220646986426,5.416973660328384,2,1
0,High Spender,9.276615190292969,8.062367944105722,108.62295135138976,6.75622972028572,3.728789164152403,3,7
1,High Spender,5.855310772747712,15.030025984142942,100.7963648304555,7.373215209015549,5.066828248356727,0,0
1,Loyal Customer,0.25195497804614675,9.902403229074263,129.3899587754851,8.321022386082035,2.9508288785994727,0,2
1,High Spender,10.036185288594096,16.477132897409085,244.6234978388516,7.301473237013896,6.586941070758189,0,0
1,One-Time Buyer,6.239486241527091,15.814544202518833,168.72793868353585,8.324486554990441,5.122766501794308,4,0
1,High Spender,3.450442094185467,1.687132694536679,157.48501029355867,6.844112733332741,2.3477646323701524,4,1
1,One-Time Buyer,5.754198239539349,17.163839593280695,102.4876875767558,6.981119463777948,4.548988459334476,6,0
1,Loyal Customer,8.759551621614593,21.145468734817573,117.3461327610528,6.866162652730471,5.694952265351346,0,0
1,Loyal Customer,2.296540162766057,8.74231329372165,159.34926233605546,7.8736146886068425,4.500428568536717,8,0
1,Loyal Customer,7.9092560699439085,8.95366513581174,181.5662790391442,6.172613266692573,4.586156417839739,13,2
1,Loyal Customer,8.724305300554096,12.97531124395519,124.92500291855441,6.8967662693177445,3.163396689429092,0,5
1,Loyal Customer,11.30278044547198,14.128941468960079,141.4227607729407,6.299043963702544,5.849811480622484,4,2
0,One-Time Buyer,3.4764593655807214,18.548025873071676,150.60209690438467,9.44582554459351,4.0272961999712935,1,5
0,One-Time Buyer,1.6696507971750858,2.539345348432871,125.15427196065181,4.583724211222744,1.7653319344924512,0,2
1,Loyal Customer,6.053770439699554,1.1394307553041436,181.01584868929893,5.302572322322982,4.443113943994409,1,1
1,High Spender,8.600728061674015,17.66517405428346,135.19932030815906,6.186184575754168,6.471724573355529,1,2
1,Bargain Hunter,4.363227655682355,13.765956827947353,108.59333350226358,5.591630597898575,4.419605830100079,0,4
1,Loyal Customer,6.615226491083391,6.81583471690444,116.50801644195931,5.627761246323453,7.60697747768528,3,0
1,High Spender,1.1223866279495383,14.047989457218389,106.85058146531829,7.025813241568104,5.643451922822775,0,2
1,Bargain Hunter,6.45459393623084,19.14667621818811,145.0698382131098,8.44477365600855,5.508137243420549,0,1
1,Loyal Customer,7.879406292505745,6.0682767587278175,170.73338767304153,9.050640602536483,4.807402601123587,1,0
1,Loyal Customer,6.697414775595561,15.944008798299263,88.9334340407945,6.417790576280774,4.897570688353564,2,2
0,One-Time Buyer,4.520027930427133,17.910710221154275,127.74122103686334,5.4767131464582635,4.604864547320744,2,6
1,Bargain Hunter,6.402449695035264,19.973665297486928,142.5385670952135,8.063222641619141,4.54659591187621,0,5
0,Bargain Hunter,7.503418963255218,2.034439538609078,152.7643522592647,16.042286299253504,5.796300743100723,2,4
1,High Spender,4.380485845034031,10.898296079297463,141.63866493671298,9.49088600540717,3.5962531553141517,1,0
1,One-Time Buyer,4.142970968282621,14.145963441701923,120.98828729214318,5.572382435639231,3.3861592569136105,6,0
