salary,years_experience,age,research_grants,publications,teaching_hours,gender,national,university_type,academic_rank,performance_score,research_output,grant_funding
29893.9298,8.124018098,40.05742774,52747.04959,12,12.77666255,Male,UAE National,Public,Professor,70.28345112,28.63083144,48881.77255
31033.6089,16.8743821,46.84444527,68749.54985,9,11.69398116,Male,Expat,Public,Lecturer,86.34651013,22.55418272,62288.641
20560.78091,5.352445699,44.66057055,53233.97053,15,12.68221524,Female,Expat,Private,Professor,56.96216158,8.94574311,48554.68989
20620.45494,7.252298627,36.28335138,45386.76667,8,17.29447765,Female,UAE National,Semi-government,Lecturer,56.56090673,16.94153135,29077.75361
25945.38579,8.41963572,42.29564683,52015.82145,9,7.779841702,Female,UAE National,Private,Lecturer,66.07212994,18.73245195,52475.74094
27842.13775,9.879021968,44.17714037,38471.60847,13,11.8037693,Male,Expat,Semi-government,Associate Professor,77.86039485,18.3990286,60387.61464
27939.45899,10.20459588,38.56725372,49202.11232,13,8.918244337,Female,Expat,Semi-government,Lecturer,50.8837151,12.28077522,30383.92652
32017.185,20.28271782,52.7883049,46414.97949,18,14.31015033,Male,Expat,Public,Lecturer,98.2509242,2.509831966,73553.07588
21631.20118,3.699176174,41.19490786,32614.26026,6,13.36411319,Male,Expat,Private,Associate Professor,54.70762586,18.1841706,33453.21556
25421.82934,12.5654271,35.87825285,82715.95612,16,11.62276111,Female,Expat,Private,Assistant Professor,73.82426174,14.44543984,56896.17812
28232.0812,9.755514083,49.76226317,27703.55625,12,9.234529031,Male,UAE National,Semi-government,Professor,77.56833008,26.67547938,46442.12948
25364.0139,10.97053815,45.44176288,37371.25945,9,12.02818606,Male,UAE National,Private,Assistant Professor,75.13352999,17.62003909,56082.83084
16188.74462,5.887900338,51.0119716,66561.1763,7,14.57147517,Female,UAE National,Public,Professor,69.6499306,10.65382401,45312.31004
27256.53183,9.077373212,41.94498767,54411.67075,11,13.50327003,Male,UAE National,Semi-government,Professor,80.82922619,12.53387249,60211.18291
25127.44865,11.43562083,44.59256977,62394.77569,12,11.90621576,Male,UAE National,Semi-government,Associate Professor,68.34084095,17.75540518,50898.27483
22989.33815,12.01865045,47.8273769,45373.98114,6,14.34582761,Male,UAE National,Private,Associate Professor,82.86187844,19.17004867,51158.98358
28707.33899,7.959495804,34.9369578,63801.47353,10,11.61840185,Female,Expat,Public,Professor,48.57045776,15.49791904,37490.44653
27130.95176,15.66885048,38.25077378,79055.1109,6,11.54414663,Male,Expat,Private,Lecturer,76.46580002,23.09853143,57168.39816
19644.03499,6.004039967,48.56488448,76233.86899,3,15.20399333,Male,UAE National,Public,Associate Professor,61.71222637,17.22307091,48580.87218
21483.3105,6.208589656,51.39596657,43371.37257,7,6.993858413,Female,Expat,Semi-government,Associate Professor,62.5552932,4.66202061,42928.27641
24097.29771,10.00103532,45.49652637,8510.27298,8,3.594265292,Male,UAE National,Private,Lecturer,50.83518743,18.41388916,34135.77136
26476.2007,14.24087106,37.62099137,63878.46466,13,10.01192555,Male,Expat,Private,Professor,84.1537598,21.03179772,55442.73716
16744.17749,8.914914748,27.0729057,74478.97506,12,5.692197924,Male,Expat,Private,Associate Professor,79.47111691,21.00161924,56285.21935
29430.62861,16.01942219,34.89373819,70743.17797,12,16.49064082,Male,Expat,Private,Associate Professor,78.37377353,15.86070989,55344.49889
30679.85158,19.24304417,44.87124285,32129.69815,10,8.479108822,Female,Expat,Private,Professor,92.42370706,22.60019219,76380.47479
31279.777,13.9674436,25.64886002,36259.71801,15,12.87650648,Male,Expat,Public,Associate Professor,73.77619498,8.287460207,58402.5241
23010.7007,7.038220222,42.59566883,61118.82903,6,12.41202397,Male,Expat,Semi-government,Lecturer,66.11018355,23.10739051,43622.02355
22873.50657,11.48287773,38.05551041,35190.19787,2,9.491415448,Male,UAE National,Private,Associate Professor,69.32255529,26.74672092,56936.92843
33891.21476,18.69425676,43.95764523,54379.27832,10,12.99183978,Male,Expat,Semi-government,Associate Professor,93.2434992,25.72225437,63123.57785
18370.86177,5.862048897,25,40806.86455,11,10.45205703,Female,UAE National,Private,Associate Professor,65.91079472,22.04277676,53305.42169
27333.18931,6.415888397,29.70269145,38217.75734,8,7.207140812,Male,Expat,Public,Lecturer,79.84599511,14.18051583,55250.383
25082.37096,9.149076887,44.452425,45718.64605,8,13.36906792,Male,UAE National,Semi-government,Associate Professor,83.66112941,22.35823292,59809.41124
37042.70201,18.19982265,38.09511651,24600.02805,11,10.65327484,Female,Expat,Semi-government,Lecturer,79.01820988,26.54306015,69668.69623
27219.21291,13.34327402,25,12531.17392,10,15.45873977,Female,UAE National,Private,Associate Professor,68.8317028,22.72178138,43740.37398
22983.47077,11.11619457,30.62676522,60061.80737,17,10.78591243,Male,Expat,Public,Professor,64.48831663,9.111007958,34846.57667
16951.25218,5.958671392,38.0746786,31635.75667,12,10.07453579,Female,UAE National,Semi-government,Lecturer,72.12746318,15.10935531,47730.47948
25400.43936,9.522678765,29.54104174,73543.69926,7,9.165273832,Male,Expat,Semi-government,Lecturer,66.79496524,12.49205945,41105.07576
19360.09441,2.712242503,52.02735863,43887.78772,6,11.51469816,Female,Expat,Public,Associate Professor,66.6722541,12.0003717,45483.45206
26685.76828,8.764871496,39.14930398,26020.97204,12,13.10549276,Male,UAE National,Semi-government,Professor,73.45442305,23.09542075,53749.70285
21633.50012,6.267108267,35.81014958,46715.1603,8,10.40217973,Male,Expat,Private,Associate Professor,84.08710219,17.86355989,67960.78546
